1;10;1;21
2;3;2;14
3;3;3;19
4;8;4;13
5;6;5;26
6;14;6;26
7;8;7;12
8;1;8;8
9;1;9;11
10;15;10;20
11;5;11;17
12;35;12;36
13;15;13;34
14;4;14;14
15;3;15;24
16;1;16;10
17;10;17;19
18;3;18;8
19;11;19;32
20;1;20;6
21;4;21;24
22;2;22;15
23;21;23;26
24;38;24;53
25;5;25;24
26;12;26;14
27;1;27;9
28;2;28;5
29;3;29;25
30;11;30;35
31;7;31;24
32;3;32;40
33;9;33;12
34;5;34;11
35;2;35;7
36;20;36;26
37;17;37;32
38;25;38;60
39;20;39;34
40;1;40;17
41;8;41;9
42;2;42;6
43;8;43;18
44;2;44;13
45;8;45;15
46;20;46;23
47;16;47;26
48;9;48;12
49;18;49;27
50;2;50;5
51;11;51;14
52;19;52;32
53;29;53;30
54;8;54;10
55;6;55;20
56;3;56;12
57;25;57;31
58;13;58;22
59;6;59;16
60;2;60;6
61;17;61;39
62;3;62;13
63;11;63;14
64;23;64;42
65;1;65;15
66;26;66;36
67;4;67;18
68;15;68;20
69;4;69;13
70;4;70;5
71;21;71;27
72;4;72;11
73;10;73;17
74;21;74;41
75;6;75;9
76;2;76;7
77;8;77;17
78;9;78;14
79;2;79;7
80;1;80;8
81;17;81;20
82;6;82;15
83;4;83;5
84;16;84;18
85;2;85;3
86;6;86;7
87;5;87;9
88;19;88;31
89;1;89;21
90;4;90;20
91;1;91;5
92;10;92;15
93;6;93;14
94;9;94;17
95;6;95;20
96;8;96;35
97;14;97;16
98;2;98;6
99;6;99;18
100;9;100;11
1;25;1;49
2;33;2;61
3;49;3;58
4;15;4;16
5;29;5;32
6;31;6;40
7;32;7;39
8;45;8;58
9;25;9;40
10;28;10;29
11;21;11;38
12;44;12;46
13;39;13;44
14;29;14;35
15;28;15;32
16;20;16;23
17;33;17;44
18;28;18;34
19;38;19;43
20;28;20;29
21;31;21;42
22;22;22;26
23;37;23;39
24;63;24;78
25;30;25;53
26;19;26;34
27;12;27;16
28;6;28;18
29;28;29;33
30;38;30;45
31;31;31;32
32;49;32;58
33;14;33;25
34;26;34;44
35;11;35;17
36;30;36;34
37;48;37;52
38;64;38;66
39;41;39;46
40;26;40;28
41;22;41;35
42;12;42;25
43;43;43;45
44;14;44;19
45;20;45;31
46;30;46;31
47;33;47;34
48;33;48;39
49;28;49;40
50;8;50;15
51;20;51;30
52;42;52;56
53;43;53;44
54;14;54;17
55;52;55;55
56;23;56;55
57;33;57;55
58;32;58;60
59;29;59;39
60;43;60;50
61;46;61;51
62;24;62;55
63;26;63;51
64;54;64;60
65;21;65;30
66;52;66;58
67;19;67;22
68;32;68;46
69;26;69;50
70;11;70;41
71;47;71;55
72;18;72;28
73;36;73;42
74;44;74;47
75;11;75;24
76;9;76;17
77;19;77;24
78;20;78;28
79;41;79;42
80;22;80;24
81;23;81;33
82;31;82;50
83;10;83;13
84;27;84;37
85;13;85;38
86;16;86;26
87;15;87;44
88;38;88;45
89;27;89;31
90;26;90;43
91;17;91;25
92;16;92;36
93;15;93;31
94;29;94;48
95;35;95;42
96;46;96;56
97;26;97;28
98;8;98;23
99;19;99;21
100;12;100;19
1;53;1;54
2;75;2;81
3;63;3;85
4;37;4;46
5;48;5;49
6;42;6;48
7;44;7;45
8;62;8;63
9;53;9;54
10;44;10;51
11;42;11;48
12;50;12;52
13;72;13;84
14;40;14;44
15;41;15;47
16;33;16;41
17;55;17;58
18;46;18;53
19;52;19;54
20;39;20;53
21;44;21;55
22;41;22;66
23;46;23;51
24;79;24;80
25;60;25;73
26;43;26;45
27;18;27;19
28;42;28;66
29;38;29;41
30;48;30;51
31;38;31;59
32;59;32;63
33;41;33;44
34;48;34;54
35;37;35;49
36;36;36;58
37;55;37;63
38;67;38;70
39;59;39;64
40;32;40;33
41;42;41;43
42;38;42;45
43;54;43;56
44;20;44;25
45;34;45;48
46;32;46;47
47;53;47;55
48;45;48;54
49;49;49;52
